"Lot ID","Color","Category","Condition","Sub-Condition","Description","Remarks","Price","Quantity","Bulk","Sale","URL","Item No","Tier Qty 1","Tier Price 1","Tier Qty 2","Tier Price 2","Tier Qty 3","Tier Price 3","Reserved For","Stockroom","Retain","Super Lot ID","Super Lot Qty","Weight","Extended Description","Date Added","Date Last Sold","Currency"

"455853358","Dark Bluish Gray","Parts / Technic, Connector","Used","","Dark Bluish Gray Technic, Axle and Pin Connector Perpendicular 3L with 2 Pin Holes ","ящик 1.3.2","$0.04","25","1","0%","","42003","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.77","","1/28/2025","","USD"
"455853384","Light Bluish Gray","Parts / Technic, Connector","Used","","Light Bluish Gray Technic, Axle and Pin Connector Perpendicular 3L with 2 Pin Holes ","ящик 1.3.2","$0.04","27","1","0%","","42003","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.77","","1/28/2025","","USD"
"455853472","Red","Parts / Technic, Connector","Used","","Red Technic, Axle and Pin Connector Perpendicular 3L with 2 Pin Holes ","ящик 1.3.2","$0.06","23","1","0%","","42003","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.77","","1/28/2025","","USD"
"455853510","Yellow","Parts / Technic, Connector","Used","","Yellow Technic, Axle and Pin Connector Perpendicular 3L with 2 Pin Holes ","ящик 1.3.2","$0.05","21","1","0%","","42003","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.77","","1/28/2025","","USD"
"455853990","Black","Parts / Technic, Connector","Used","","Black Technic, Axle and Pin Connector Perpendicular ","ящик 1.3.2","$0.04","35","1","0%","","6536","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.39","","1/28/2025","","USD"
"455854002","Dark Bluish Gray","Parts / Technic, Connector","Used","","Dark Bluish Gray Technic, Axle and Pin Connector Perpendicular ","ящик 1.3.2","$0.04","15","1","0%","","6536","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.39","","1/28/2025","","USD"
"455854027","Light Bluish Gray","Parts / Technic, Connector","Used","","Light Bluish Gray Technic, Axle and Pin Connector Perpendicular ","ящик 1.3.2","$0.04","4","1","0%","","6536","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.39","","1/28/2025","","USD"
"455854036","Lime","Parts / Technic, Connector","Used","","Lime Technic, Axle and Pin Connector Perpendicular ","ящик 1.3.2","$0.04","2","1","0%","","6536","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.39","","1/28/2025","","USD"
"455854047","Red","Parts / Technic, Connector","Used","","Red Technic, Axle and Pin Connector Perpendicular ","ящик 1.3.2","$0.04","20","1","0%","","6536","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.39","","1/28/2025","","USD"
"455854196","White","Parts / Technic, Connector","Used","","White Technic, Axle and Pin Connector Perpendicular ","ящик 1.3.2","$0.04","11","1","0%","","6536","0","$0.00","0","$0.00","0","$0.00","","No","No","","","0.39","","1/28/2025","","USD"
